# Odd Oxygen; 3 reactions
OH + OCS → SO2 + CO + H                                                                 ; 7.20017E-14*exp ( -1070.0/t )
OH + PHENOL → 0*PHENO2 + 0.8*HO2 + 0*PHENO                                              ; 4.70011E-13*exp ( 1220.0/t )
OH + PHENOOH → PHENO2                                                                   ; 3.80009E-12*exp ( 200.0/t )
OH + POOH → 0*PO2 + 0*OH + 0*HYAC + H2O                                                 ; 3.80009E-12*exp ( 200.0/t )
OH + ROOH → RO2 + H2O                                                                   ; 3.80009E-12*exp ( 200.0/t )
OH + S → SO + H                                                                         ; 6.60015E-11
OH + TERPNIT → NO2 + TERPROD1                                                           ; 2.00005E-11
OH + TERPOOH → TERPO2                                                                   ; 3.30008E-11
OH + TERPROD1 → TERP2O2                                                                 ; 5.70013E-11
OH + TERPROD2 → 0*RO2 + 0.68*CH2O + 1.8*CO2 + 0*CH3COCH3 + 0.65*CH3CO3 + 0*HO2 + 0.7*CO ; 3.40008E-11
OH + TOLOOH → TOLO2                                                                     ; 3.80009E-12*exp ( 200.0/t )
OH + XOOH → 0*XO2 + 0*OH                                                                ; 1.52004E-12*exp ( 200.0/t )
OH + XYLENES → 0*XYLOL + 0*TEPOMUC + 0*BZOO + 0.56*XYLENO2 + 0*HO2                      ; 1.70004E-11
OH + XYLENES → XYLENES + OH + XYLEO2VBS                                                 ; 1.70004E-11
OH + XYLOL → 0*XYLOLO2 + 0.63*HO2 + 0*PHENO                                             ; 8.4002E-11
OH + XYLOLOOH → XYLOLO2                                                                 ; 3.80009E-12*exp ( 200.0/t )
PAN + OH → CH2O + NO3                                                                   ; 4.00009E-14
PHENO2 + HO2 → PHENOOH                                                                  ; 7.50018E-13*exp ( 700.0/t )
PO2 + HO2 → POOH + O2                                                                   ; 7.50018E-13*exp ( 700.0/t )
RO2 + HO2 → 0.85*ROOH + 0*OH + 0*CH2O + 0*CH3CO3                                        ; 8.6002E-13*exp ( 700.0/t )
SO + OH → SO2 + H                                                                       ; 2.60006E-11*exp ( 330.0/t )
SO2 + OH → SO3 + HO2                                                                    ; ko=1.74646E-13(300.0/T)**4.1, ki=1.70004E-12(300.0/T)**-0.2, f=0.60
SVOC + OH → OH + 0.5931004999999999*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4       ; 1.34003E-11
TERP2O2 + HO2 → TERP2OOH                                                                ; 7.50018E-13*exp ( 700.0/t )
TERP2OOH + OH → TERP2O2                                                                 ; 2.30005E-11
TERPO2 + HO2 → TERPOOH                                                                  ; 7.50018E-13*exp ( 700.0/t )
TOLO2 + HO2 → TOLOOH                                                                    ; 7.50018E-13*exp ( 700.0/t )
TOLUENE + OH → 0*CRESOL + 0*TEPOMUC + 0*BZOO + 0.65*TOLO2 + 0*HO2                       ; 1.70004E-12*exp ( 352.0/t )
TOLUENE + OH → TOLUENE + OH + TOLUO2VBS                                                 ; 1.70004E-12*exp ( 352.0/t )
TOLUO2VBS + HO2 → HO2 + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                 ; 7.50018E-13*exp ( 700.0/t )
XO2 + HO2 → XOOH                                                                        ; 8.00019E-13*exp ( 700.0/t )
XYLENO2 + HO2 → XYLENOOH                                                                ; 7.50018E-13*exp ( 700.0/t )
XYLENOOH + OH → XYLENO2                                                                 ; 3.80009E-12*exp ( 200.0/t )
XYLEO2VBS + HO2 → HO2 + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                 ; 7.50018E-13*exp ( 700.0/t )
XYLOLO2 + HO2 → XYLOLOOH                                                                ; 7.50018E-13*exp ( 700.0/t )

# Odd Nitrogen; 87 reactions
ACBZO2 + NO2 → PBZNIT                                                                                       ; ko=5.84161E-11(300.0/T)**5.6, ki=9.30022E-12(300.0/T)**1.5, f=0.60
ALKO2 + NO → 0*CH3CHO + 0*CH2O + 0*CH3COCH3 + HO2 + 0.8*MEK + NO2                                           ; 6.70016E-12
ALKO2 + NO → ALKNIT                                                                                         ; 5.40013E-14*exp ( 870.0/t )
BCARY + NO3 → BCARY + NO3 + 0*SOAG3 + 0.5901905*SOAG4                                                       ; 1.90004E-11
BCARY + NO3 → NTERPO2                                                                                       ; 1.90004E-11
BCARYO2VBS + NO → NO + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                                      ; 2.70006E-12*exp ( 360.0/t )
BIGENE + NO3 → NO2 + CH3CHO + 0*CH2O + 0*CH3COCH3                                                           ; 3.50008E-13
BRO + NO2 → BRONO2                                                                                          ; ko=3.13159E-13(300.0/T)**3.2, ki=6.90016E-12(300.0/T)**2.9, f=0.60
BZOO + NO → BZALD + NO2 + HO2                                                                               ; 2.60006E-12*exp ( 365.0/t )
C6H5O2 + NO → PHENO + NO2                                                                                   ; 2.60006E-12*exp ( 365.0/t )
CH3CO3 + NO2 → PAN                                                                                          ; ko=4.39627E-11(300.0/T)**4.1, ki=9.50022E-12(300.0/T)**1.6, f=0.60
CH3O2 + NO → CH2O + NO2 + HO2                                                                               ; 2.80007E-12*exp ( 300.0/t )
CLO + NO2 → CLONO2                                                                                          ; ko=1.08401E-13(300.0/T)**3.4, ki=1.50004E-11(300.0/T)**1.9, f=0.60
DICARBO2 + NO2 → sink                                                                                       ; ko=5.84161E-11(300.0/T)**5.6, ki=9.30022E-12(300.0/T)**1.5, f=0.60
HOCH2OO + NO → HCOOH + NO2 + HO2                                                                            ; 2.60006E-12*exp ( 265.0/t )
ISOP + NO3 → ISOP + NO3 + 0*SOAG3 + 0*SOAG4                                                                 ; 3.03007E-12*exp ( -446.0/t )
ISOP + NO3 → ISOPNO3                                                                                        ; 3.03007E-12*exp ( -446.0/t )
ISOPAO2 + NO → 0*ISOPNITA + 0.92*NO2 + 0*MACR + 0.56*MVK + 0.92*CH2O + 0.92*HO2                             ; 4.4001E-12*exp ( 180.0/t )
ISOPAO2 + NO3 → NO2 + 0*MACR + 0.6*MVK + CH2O + HO2                                                         ; 2.40006E-12
ISOPNO3 + NO → NC4CHO + NO2 + HO2                                                                           ; 2.70006E-12*exp ( 360.0/t )
ISOPNO3 + NO3 → NC4CHO + NO2 + HO2                                                                          ; 2.40006E-12
ISOPO2VBS + NO → NO + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                                       ; 2.70006E-12*exp ( 350.0/t )
MALO2 + NO → 0*GLYOXAL + 0*HO2 + 0*CO + NO2                                                                 ; 7.50018E-12*exp ( 290.0/t )
MALO2 + NO2 → sink                                                                                          ; ko=5.84161E-11(300.0/T)**5.6, ki=9.30022E-12(300.0/T)**1.5, f=0.60
MCO3 + NO2 → MPAN                                                                                           ; ko=5.84161E-11(300.0/T)**5.6, ki=9.30022E-12(300.0/T)**1.5, f=0.60
MDIALO2 + NO2 → sink                                                                                        ; ko=5.84161E-11(300.0/T)**5.6, ki=9.30022E-12(300.0/T)**1.5, f=0.60
N + NO2 → 2*NO                                                                                              ; 1.45003E-12*exp ( 220.0/t )
N + NO2 → N2 + O2                                                                                           ; 1.45003E-12*exp ( 220.0/t )
N + NO2 → N2O + O                                                                                           ; 2.90007E-12*exp ( 220.0/t )
N + O2 → NO + O                                                                                             ; 3.30008E-12*exp ( -3150.0/t )
N2O5 → NO2 + NO3                                                                                            ; ko=2.49192E+14(300.0/T)**3.0*exp ( -10840.0/t ), ki=2.75862E+14(300.0/T)**-0.1*exp ( -10840.0/t ), f=0.60
NO + ACBZO2 → C6H5O2 + NO2                                                                                  ; 7.50018E-12*exp ( 290.0/t )
NO + BENZO2 → NO2 + GLYOXAL + 0*BIGALD1 + HO2                                                               ; 2.60006E-12*exp ( 365.0/t )
NO + BENZO2VBS → NO + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                                       ; 2.60006E-12*exp ( 365.0/t )
NO + BRO → BR + NO2                                                                                         ; 8.80021E-12*exp ( 260.0/t )
NO + C2H5O2 → CH3CHO + HO2 + NO2                                                                            ; 2.60006E-12*exp ( 365.0/t )
NO + C3H7O2 → 0.82*CH3COCH3 + NO2 + HO2 + 0*CH3CHO                                                          ; 4.2001E-12*exp ( 180.0/t )
NO + CH3CO3 → CH3O2 + CO2 + NO2                                                                             ; 8.10019E-12*exp ( 270.0/t )
NO + CLO → NO2 + CL                                                                                         ; 6.40015E-12*exp ( 290.0/t )
NO + DICARBO2 → NO2 + 0*HO2 + 0*CH3COCHO + 0*CO + 0.83*CH3O2                                                ; 7.50018E-12*exp ( 290.0/t )
NO + ENEO2 → CH3CHO + 0*CH2O + 0*CH3COCH3 + HO2 + NO2                                                       ; 4.80011E-12*exp ( 120.0/t )
NO + ENEO2 → HONITR                                                                                         ; 5.10012E-14*exp ( 693.0/t )
NO + EO2 → 0*CH2O + 0*HO2 + 0.75*EO + NO2                                                                   ; 4.2001E-12*exp ( 180.0/t )
NO + ISOPBO2 → 0.87*HYDRALD + 0*ISOPNITB + 0.92*NO2 + 0.92*HO2 + 0*GLYOXAL + 0*GLYALD + 0*CH3COCHO + 0*HYAC ; 4.4001E-12*exp ( 180.0/t )
NO + IVOCO2VBS → NO + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                                       ; 2.60006E-12*exp ( 365.0/t )
NO + MACRO2 → HONITR                                                                                        ; 1.30003E-13*exp ( 360.0/t )
NO + MACRO2 → NO2 + 0*HO2 + 0*CH2O + 0.53*GLYALD + 0*CH3COCHO + 0.53*CH3CO3 + 0*HYAC + 0*CO                 ; 2.70006E-12*exp ( 360.0/t )
NO + MCO3 → NO2 + CH2O + CH3CO3                                                                             ; 5.30012E-12*exp ( 360.0/t )
NO + MDIALO2 → NO2 + 0.83*HO2 + 0*CH3COCHO + 0*CO + 0*CH3O2 + 0*GLYOXAL                                     ; 7.50018E-12*exp ( 290.0/t )
NO + MEKO2 → CH3CO3 + CH3CHO + NO2                                                                          ; 4.2001E-12*exp ( 180.0/t )
NO + MTERPO2VBS → NO + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                                      ; 2.70006E-12*exp ( 360.0/t )
NO + N → N2 + O                                                                                             ; 2.10005E-11*exp ( 100.0/t )
NO + NTERPO2 → 0*TERPNIT + 1.6*NO2 + 0.8*TERPROD1                                                           ; 4.2001E-12*exp ( 180.0/t )
NO + O → NO2                                                                                                ; ko=5.42005E-14(300.0/T)**1.5, ki=3.00007E-11, f=0.60
NO + O3 → NO2 + O2                                                                                          ; 3.00007E-12*exp ( -1500.0/t )
NO + PO2 → CH3CHO + CH2O + HO2 + NO2                                                                        ; 4.2001E-12*exp ( 180.0/t )
NO + RO2 → CH3CO3 + CH2O + NO2                                                                              ; 2.90007E-12*exp ( 300.0/t )
NO + TERPO2 → 0*TERPNIT + 0.8*NO2 + 0*CH2O + 0*CH3COCH3 + 0.8*TERPROD1 + 0.8*HO2                            ; 4.2001E-12*exp ( 180.0/t )
NO + TOLUO2VBS → NO + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                                       ; 2.60006E-12*exp ( 365.0/t )
NO + XO2 → NO2 + HO2 + 0*CO + 0*CH2O + 0*GLYOXAL + 0*CH3COCHO + 0*HYAC + 0*GLYALD                           ; 2.70006E-12*exp ( 360.0/t )
